,0,1,2,3,4,5,6,7,8
91,2003.0,7.0,354433.85,5611.25,360045.1,88080.75,202843.55,290924.3,650969.4
92,2003.0,8.0,342068.0,8407.6,350475.6,83858.0,188395.6,272253.6,622729.2
93,2003.0,9.0,365198.85,6912.2,372111.05,93824.25,205171.55,298995.8,671106.85
94,2003.0,10.0,334215.45,4162.75,338378.2,98896.0,190512.85,289408.85,627787.05
95,2003.0,11.0,301922.4,5061.05,306983.45,99185.0,156489.15,255674.15,562657.6
96,2004.0,0.0,340907.8,4503.75,345411.55,97093.25,173582.15,270675.4,616086.95
97,2004.0,1.0,242928.3,4781.0,247709.3,95388.25,139276.15,234664.4,482373.7
98,2004.0,2.0,334547.75,6200.25,340748.0,115026.0,155842.35,270868.35,611616.35
99,2004.0,3.0,339942.9,5395.25,345338.15,102541.0,169017.9,271558.9,616897.05
100,2004.0,4.0,361413.3,5714.7,367128.0,100912.5,192798.65,293711.15,660839.15
101,2004.0,5.0,340625.2,6430.55,347055.75,89709.75,175315.3,265025.05,612080.8
102,2004.0,6.0,361584.3,4316.0,365900.3,95940.75,214558.4,310499.15,676399.45
103,2004.0,7.0,339428.1,4680.5,344108.6,86693.25,196586.95,283280.2,627388.8
104,2004.0,8.0,318722.15,5623.55,324345.7,76129.0,192306.1,268435.1,592780.8
105,2004.0,9.0,347354.6,5363.25,352717.85,91494.5,198723.55,290218.05,642935.9
106,2004.0,10.0,335855.4,4195.0,340050.4,90283.25,200059.2,290342.45,630392.85
107,2004.0,11.0,277110.1,6157.1,283267.2,88668.5,179712.6,268381.1,551648.3
108,2005.0,0.0,298435.35,6666.85,305102.2,83252.25,201823.95,285076.2,590178.4
109,2005.0,1.0,289415.4,4607.05,294022.45,87297.75,173144.85,260442.6,554465.05
110,2005.0,2.0,255389.9,6783.45,262173.05,107452.5,155393.85,262846.35,525019.4
111,2005.0,3.0,329094.2,6992.7,336086.9,107048.5,193837.35,300885.85,636972.75
112,2005.0,4.0,313026.85,6445.55,319472.4,105220.25,185931.25,291151.5,610623.9
113,2005.0,5.0,334823.5,5758.45,340581.95,96659.25,196807.25,293466.5,634048.45
114,2005.0,6.0,352416.8,4299.15,356715.95,97547.5,194116.2,291663.7,648379.65
115,2005.0,7.0,343029.25,6625.25,349654.5,95061.25,206838.7,301899.95,651554.45
116,2005.0,8.0,350754.85,6157.55,356912.4,92992.5,213590.35,306582.85,663495.25
117,2005.0,9.0,368524.2,6526.65,375050.85,98189.0,234500.25,332689.25,707740.1
118,2005.0,10.0,325089.9,6946.65,332036.55,98268.25,210553.15,308821.4,640857.95
119,2005.0,11.0,321326.15,6917.95,328244.1,102241.5,190803.5,293045.0,621289.1
120,2006.0,0.0,321696.7,5312.4,327009.1,100408.25,192858.0,293266.25,620275.35
121,2006.0,1.0,247693.0,4118.85,251811.85,96481.25,132521.85,229003.1,480814.95
122,2006.0,2.0,340793.55,4607.5,345401.05,128240.5,197308.25,325548.75,670949.8
123,2006.0,3.0,365187.9,4982.7,370170.6,113398.75,189824.25,303223.0,673393.6
124,2006.0,4.0,362494.6,6368.95,368863.55,118907.25,208182.5,327089.75,695953.3
125,2006.0,5.0,380852.5,7104.35,387956.85,115184.65,223730.0,338914.65,726871.5
126,2006.0,6.0,404664.55,8692.7,413357.25,124134.25,223834.85,347969.1,761326.35
127,2006.0,7.0,405303.05,8701.25,414004.3,119220.25,257502.0,376722.25,790726.55
128,2006.0,8.0,425473.75,5809.15,431282.9,124195.75,236126.0,360321.75,791604.65
129,2006.0,9.0,412554.4,9139.3,421693.7,131335.25,247034.9,378370.15,800063.85
130,2006.0,10.0,382404.65,7803.85,390208.5,122646.0,232758.6,355404.6,745613.1
131,2006.0,11.0,359066.6,6524.15,365590.75,129467.75,217201.5,346669.25,712260.0
132,2007.0,0.0,360191.45,6904.2,367095.65,124433.25,200073.1,324506.35,691602.0
133,2007.0,1.0,353009.95,5590.8,358600.75,118952.75,171689.5,290642.25,649243.0
134,2007.0,2.0,318279.3,5192.8,323472.1,127945.75,178521.3,306467.05,629939.15
135,2007.0,3.0,368682.95,6828.55,375511.5,123079.0,181066.75,304145.75,679657.25
136,2007.0,4.0,361683.05,7191.25,368874.3,134349.5,178320.75,312670.25,681544.55
